# Fields:
# rank,gene,score,mean,correlation,column_enrich,column_enrich_MONDO,column_enrich_UBERON,column_enrich_DOID,column_enrich_NCIT
4,EXO5,0.996625458,10245.71669,0.372982582,UBERON:0002048,,UBERON:0002048,,
4,TMEM260,0.996625458,10245.71669,0.37351231,UBERON:0002048,,UBERON:0002048,,
4,ASB16,0.996625458,10245.71669,0.374932974,UBERON:0002048,,UBERON:0002048,,
4,C2orf42,0.996625458,10245.71669,0.37504728,UBERON:0002048,,UBERON:0002048,,
4,FAM160A2,0.996625458,10245.71669,0.375934603,UBERON:0002048,,UBERON:0002048,,
4,RNF220,0.996625458,10245.71669,0.375945524,UBERON:0002048,,UBERON:0002048,,
4,ZNF691,0.996625458,10245.71669,0.379606777,UBERON:0002048,,UBERON:0002048,,
4,SHARPIN,0.996625458,10245.71669,0.382255906,UBERON:0002048,,UBERON:0002048,,
4,MLYCD,0.996625458,10245.71669,0.384892209,UBERON:0002048,,UBERON:0002048,,
4,SPRYD7,0.996625458,10245.71669,0.387791193,UBERON:0002048,,UBERON:0002048,,
4,EHMT2,0.996625458,10245.71669,0.388467149,UBERON:0002048,,UBERON:0002048,,
4,EBAG9,0.996625458,10245.71669,0.389918132,UBERON:0002048,,UBERON:0002048,,
4,RNF20,0.996625458,10245.71669,0.398455041,UBERON:0002048,,UBERON:0002048,,
4,EXOC1,0.996625458,10245.71669,0.402997554,UBERON:0002048,,UBERON:0002048,,
4,ZNF75A,0.996625458,10245.71669,0.404035931,UBERON:0002048,,UBERON:0002048,,
4,ZNF44,0.996625458,10245.71669,0.406719169,UBERON:0002048,,UBERON:0002048,,
4,ZFP69,0.996625458,10245.71669,0.408972242,UBERON:0002048,,UBERON:0002048,,
4,AASDH,0.996625458,10245.71669,0.410900192,UBERON:0002048,,UBERON:0002048,,
4,GOLGA1,0.996625458,10245.71669,0.418329082,UBERON:0002048,,UBERON:0002048,,
4,ASTE1,0.996625458,10245.71669,0.420840997,UBERON:0002048,,UBERON:0002048,,
4,ZNF594,0.996625458,10245.71669,0.422480662,UBERON:0002048,,UBERON:0002048,,
4,ZC3H4,0.996625458,10245.71669,0.424921492,UBERON:0002048,,UBERON:0002048,,
4,ZSCAN21,0.996625458,10245.71669,0.42625442,UBERON:0002048,,UBERON:0002048,,
4,STAMBP,0.996625458,10245.71669,0.427841991,UBERON:0002048,,UBERON:0002048,,
4,ASPSCR1,0.996625458,10245.71669,0.430161611,UBERON:0002048,,UBERON:0002048,,
4,COG6,0.996625458,10245.71669,0.431149207,UBERON:0002048,,UBERON:0002048,,
4,OSGEPL1,0.996625458,10245.71669,0.431272889,UBERON:0002048,,UBERON:0002048,,
4,N6AMT2,0.996625458,10245.71669,0.431577016,UBERON:0002048,,UBERON:0002048,,
4,SLC25A17,0.996625458,10245.71669,0.431945119,UBERON:0002048,,UBERON:0002048,,
4,YAE1D1,0.996625458,10245.71669,0.43251419,UBERON:0002048,,UBERON:0002048,,
4,POP5,0.996625458,10245.71669,0.43276796,UBERON:0002048,,UBERON:0002048,,
4,FOXRED1,0.996625458,10245.71669,0.433201313,UBERON:0002048,,UBERON:0002048,,
4,CCDC97,0.996625458,10245.71669,0.434585035,UBERON:0002048,,UBERON:0002048,,
4,C9orf64,0.996625458,10245.71669,0.436019742,UBERON:0002048,,UBERON:0002048,,
