# Fields:
# bicluster,gene,bicluster_score,bicluster_mean,gene_bicluster_cor,col_enrich_all,col_enrich_MONDO,col_enrich_MONDO_label,col_enrich_UBERON,col_enrich_UBERON_label,col_enrich_DOID,col_enrich_DOID_label,col_enrich_NCIT,col_enrich_NCIT_label,all_col_labels
# 
4,EXD2,0.9966254583046034,10245.716694652541,0.345971021593079,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,EXO5,0.9966254583046034,10245.716694652541,0.37298258217283037,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,EXOC1,0.9966254583046034,10245.716694652541,0.402997553521343,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,FAM122A,0.9966254583046034,10245.716694652541,0.3217931199582241,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,FAM160A2,0.9966254583046034,10245.716694652541,0.3759346026692255,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,FAM193A,0.9966254583046034,10245.716694652541,0.29041144632094357,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,FIZ1,0.9966254583046034,10245.716694652541,0.4380755594536202,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,FOXRED1,0.9966254583046034,10245.716694652541,0.43320131294480757,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,FPGT,0.9966254583046034,10245.716694652541,0.3538912857079877,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,FZD2,0.9966254583046034,10245.716694652541,0.31606106508412435,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,GLE1,0.9966254583046034,10245.716694652541,0.4873629753043708,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,GOLGA1,0.9966254583046034,10245.716694652541,0.4183290824120965,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,GOPC,0.9966254583046034,10245.716694652541,0.4519455743572681,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,GPS2,0.9966254583046034,10245.716694652541,0.2896466015821271,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,GTPBP10,0.9966254583046034,10245.716694652541,0.4996525157395494,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,HDDC3,0.9966254583046034,10245.716694652541,0.47188994713018634,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,HECTD3,0.9966254583046034,10245.716694652541,0.36168051188444467,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,ILVBL,0.9966254583046034,10245.716694652541,0.5158104437499728,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,INO80C,0.9966254583046034,10245.716694652541,0.5191467703249288,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,IRF2BP1,0.9966254583046034,10245.716694652541,0.4664617207948485,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,ITFG2,0.9966254583046034,10245.716694652541,0.44988217143674714,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,KBTBD7,0.9966254583046034,10245.716694652541,0.3604967123809196,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,KIFAP3,0.9966254583046034,10245.716694652541,0.5090076180496751,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,LRRC14,0.9966254583046034,10245.716694652541,0.3688072689111549,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,LZTR1,0.9966254583046034,10245.716694652541,0.18426758699111986,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,MED11,0.9966254583046034,10245.716694652541,0.3580336397614606,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,MEPCE,0.9966254583046034,10245.716694652541,0.3240307346496472,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,METTL16,0.9966254583046034,10245.716694652541,0.4662110158890172,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,MLYCD,0.9966254583046034,10245.716694652541,0.3848922088690369,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,MRFAP1L1,0.9966254583046034,10245.716694652541,0.4901352287387011,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,MRPL9,0.9966254583046034,10245.716694652541,0.34562322241064053,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,MRPS18B,0.9966254583046034,10245.716694652541,0.37017132011377857,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,MTERF,0.9966254583046034,10245.716694652541,0.36540322084002663,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,N6AMT2,0.9966254583046034,10245.716694652541,0.4315770160824106,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,NCOA5,0.9966254583046034,10245.716694652541,0.3264370946138396,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,NFS1,0.9966254583046034,10245.716694652541,0.4818053939938928,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,NOSIP,0.9966254583046034,10245.716694652541,0.2811403077854346,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,NUDCD3,0.9966254583046034,10245.716694652541,0.28742504861277735,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,OSGEPL1,0.9966254583046034,10245.716694652541,0.43127288852054085,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,OXSM,0.9966254583046034,10245.716694652541,0.47007371859308233,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PARS2,0.9966254583046034,10245.716694652541,0.48190637587565693,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PEX12,0.9966254583046034,10245.716694652541,0.30060686896275995,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PGBD2,0.9966254583046034,10245.716694652541,0.31037387036933556,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
